Dane sygna³u
czêstotliwoœæ próbkowania = (60*15) Hz
R,G,B
218.42,183.59,174.75
220.81,186.66,171.47
248.49,231.02,226.64
248.13,230.92,227.38
247.13,229.84,225.75
216.76,179.22,174.79
214.79,178.86,174.59
214.4,177.96,173.68
212.29,174.93,171.19
212.38,174.78,170.52
212.26,174.97,170.99
207.07,175.98,164.77
207.15,176.11,164.93
206.89,176.19,164.92
206.96,176.31,165.02
206.87,176.48,164.95
206.72,176.56,164.98
206.93,176.68,164.75
206.59,176.57,164.79
206.54,176.3,164.64
206.47,175.9,164.21
206.39,175.36,164.3
206.06,175.43,164.04
206.13,175.48,163.67
206.32,175.49,163.66
206.04,175.83,163.6
206.32,176,164.26
206.37,176.19,164.35
206.32,176.43,164.48
206.4,176.55,164.18
206.25,176.55,164.16
206.29,176.42,164.03
206.16,176.02,164.25
205.97,175.97,163.66
206.01,175.84,163.9
205.91,175.74,163.74
206.01,175.71,163.94
206.03,176.11,163.78
206.11,176.16,164.04
206.29,176.32,164.28
206.04,176.52,164.16
206.11,176.73,164.45
206.19,176.91,164.07
206.16,176.85,164.47
206.44,176.58,164.17
206.2,176.3,164.29
206.16,176.24,163.8
205.9,176.12,163.99
206.14,176.17,164.01
206.16,176.25,164.28
206.35,176.48,164.29
206.23,176.82,164.36
206.26,176.89,164.15
206.43,177,164.66
206.43,177.24,164.56
206.19,177.36,164.74
206.15,176.96,164.42
206.28,176.57,164.07
206.38,176.32,164.29
206.21,176.27,164.22
206.32,176.26,164.42
206.21,176.34,164.24
206.11,176.44,164.1
206,176.48,164.3
205.9,176.51,164.11
205.72,176.46,163.88
205.81,176.49,163.89
205.51,176.64,163.95
205.69,176.39,163.73
205.5,176.05,163.88
205.51,175.71,163.66
205.47,175.58,163.69
205.43,175.34,163.45
205.43,175.41,163.45
205.48,175.4,163.78
205.7,175.67,163.44
205.59,176.04,163.66
205.66,176.08,163.9
205.75,176.23,163.8
205.75,176.38,163.98
205.61,176.29,164.1
205.82,175.82,163.94
205.43,175.47,163.45
205.4,175.01,163.36
205.12,174.95,163.49
205.34,174.89,163.27
205.37,174.99,163.25
205.51,175.04,163.36
205.48,175.28,163.37
205.26,175.36,163.45
205.26,175.26,163.37
205.23,175.47,163.55
205.33,175.61,163.47
205.21,175.4,163.56
205.29,174.86,163.69
205.18,174.47,163.17
205.1,174.21,162.77
204.95,174.13,162.68
204.94,174.03,163.08
204.92,174.06,162.8
204.92,174.25,162.61
204.78,174.4,162.69
204.88,174.62,162.99
205.06,174.66,162.84
204.97,174.88,162.76
205.06,174.52,162.98
204.86,173.97,162.84
204.47,173.56,162.68
204.38,173.35,162.32
204.4,173.36,162.2
204.56,173.52,162.06
204.51,173.64,162.75
204.79,173.81,162.56
204.55,174.08,162.56
204.59,174.06,162.3
204.62,174.05,162.13
204.38,174.32,162.37
204.44,174.19,162.34
204.48,173.7,162.43
204.28,173.2,161.9
204.19,172.84,161.54
203.89,172.62,161.87
204.06,172.65,161.41
204.18,172.83,161.16
204.37,172.83,161.82
204.33,173.2,161.58
204.25,173.34,162.27
204.31,173.54,161.73
204.16,173.65,161.62
204.04,173.56,161.33
203.79,172.94,161.4
203.69,172.44,161.01
203.79,172.09,160.96
203.5,171.93,160.94
203.52,171.94,160.86
203.6,172.06,160.82
203.73,172.22,160.79
203.71,172.41,161.07
203.74,172.66,161.27
203.55,172.83,160.87
203.45,172.76,161.32
203.41,172.95,161.17
203.51,172.58,161.01
203.51,172.1,160.76
203.12,171.82,160.68
203.02,171.42,160.49
203.02,171.38,160.2
202.88,171.35,160.33
202.9,171.39,160.07
202.73,171.45,160.37
202.84,171.67,160.3
202.7,171.77,160.21
202.82,171.88,160.15
202.88,171.94,160.1
202.78,171.75,160.18
202.63,171.39,159.87
202.39,170.88,159.77
202.11,170.64,159.3
201.89,170.58,159.4
201.96,170.63,159.3
202.05,170.65,159.39
202.18,170.87,159.62
202.34,171.19,159.39
202.65,171.31,159.99
202.35,171.65,160.06
202.27,171.92,159.79
202.29,171.63,159.99
202.41,171.19,159.43
202.23,170.9,159.72
202.08,170.64,159.26
201.89,170.58,159.31
201.97,170.5,159.11
202.01,170.57,159.01
202.12,170.8,159.26
202.15,170.94,159.56
202.19,171.14,159.31
202.07,171.07,159.45
201.88,171.16,159.26
201.84,171.1,159.46
202.02,170.74,159.17
201.86,170.44,158.84
201.65,170.26,158.94
201.75,170.14,158.71
201.62,170.31,158.76
201.72,170.45,158.87
201.71,170.57,159.09
201.91,170.88,159.1
201.92,171.05,159.34
201.88,171.16,159.18
201.75,171.45,159.59
201.73,171.25,159.12
201.73,170.88,159.2
201.57,170.58,159.01
201.42,170.28,158.46
201.42,170.12,158.41
201.37,170.08,158.59
201.56,170.32,158.55
201.48,170.47,158.88
201.55,170.63,159.01
201.57,170.86,158.84
201.5,170.83,158.58
201.51,171,158.92
201.39,171.14,159.04
201.4,170.88,158.89
201.55,170.44,158.41
201.27,170.17,158.15
201.3,169.9,158.37
200.93,170.08,158.32
201.2,170.03,157.75
201.36,170.3,158.44
201.43,170.77,158.63
201.6,170.96,159.05
201.76,170.92,158.72
201.46,171.23,158.95
201.45,171.28,158.83
201.57,171.08,158.76
201.4,170.84,159.06
201.41,170.55,158.63
201.39,170.27,158.22
201.18,170.24,158.47
201.11,170.34,158.52
201.09,170.42,158.68
201.38,170.47,158.76
201.39,170.67,158.68
201.16,170.83,158.88
201.17,170.86,158.61
201.37,171.25,158.71
201.18,171.31,158.87
