Record Length,2500,Points,-485.999975353E-6,-1.1999999,,Record Length,2500,Points,-485.999975353E-6,79.999998212E-3,,Record Length,2500,Points,-485.999975353E-6,0.0,,Record Length,2500,Points,-485.999975353E-6,0.0,
Sample Interval,400.00000467E-9,s,-485.599972308E-6,-1.1999999,,Sample Interval,400.00000467E-9,s,-485.599972308E-6,-79.999998212E-3,,Sample Interval,400.00000467E-9,s,-485.599972308E-6,0.0,,Sample Interval,400.00000467E-9,s,-485.599972308E-6,0.0,
Trigger Point,1.2150000E3,Samples,-485.199969262E-6,-1.1200000,,Trigger Point,1.2150000E3,Samples,-485.199969262E-6,79.999998212E-3,,Trigger Point,1.2150000E3,Samples,-485.199969262E-6,-79.999998212E-3,,Trigger Point,1.2150000E3,Samples,-485.199969262E-6,-79.999998212E-3,
,,,-484.799966216E-6,-1.1200000,,,,,-484.799966216E-6,0.0,,,,,-484.799966216E-6,-79.999998212E-3,,,,,-484.799966216E-6,0.0,
,,,-484.399963170E-6,-1.1200000,,,,,-484.399963170E-6,159.99999642E-3,,,,,-484.399963170E-6,0.0,,,,,-484.399963170E-6,79.999998212E-3,
,,,-483.999989228E-6,-1.1200000,,,,,-483.999989228E-6,79.999998212E-3,,,,,-483.999989228E-6,0.0,,,,,-483.999989228E-6,0.0,
Source,CH1,,-483.599986183E-6,-1.1999999,,Source,CH2,,-483.599986183E-6,0.0,,Source,CH3,,-483.599986183E-6,79.999998212E-3,,Source,CH4,,-483.599986183E-6,0.0,
Vertical Units,Volts,,-483.199983137E-6,-1.1999999,,Vertical Units,Volts,,-483.199983137E-6,79.999998212E-3,,Vertical Units,Volts,,-483.199983137E-6,-79.999998212E-3,,Vertical Units,Volts,,-483.199983137E-6,0.0,
Vertical Scale,2.0478125,,-482.799980091E-6,-1.2800000,,Vertical Scale,2.0478125,,-482.799980091E-6,79.999998212E-3,,Vertical Scale,2.0478125,,-482.799980091E-6,0.0,,Vertical Scale,2.0478125,,-482.799980091E-6,0.0,
Vertical Offset,0,,-482.399977045E-6,-1.2800000,,Vertical Offset,0,,-482.399977045E-6,0.0,,Vertical Offset,0,,-482.399977045E-6,0.0,,Vertical Offset,0,,-482.399977045E-6,0.0,
Horizontal Units,s,,-481.999973999E-6,-1.2800000,,Horizontal Units,s,,-481.999973999E-6,0.0,,Horizontal Units,s,,-481.999973999E-6,0.0,,Horizontal Units,s,,-481.999973999E-6,0.0,
Horizontal Scale,100.0000012E-6,,-481.599970954E-6,-1.1999999,,Horizontal Scale,100.0000012E-6,,-481.599970954E-6,0.0,,Horizontal Scale,100.0000012E-6,,-481.599970954E-6,0.0,,Horizontal Scale,100.0000012E-6,,-481.599970954E-6,0.0,
Pt Fmt,Y,,-481.199967908E-6,-1.2800000,,Pt Fmt,Y,,-481.199967908E-6,79.999998212E-3,,Pt Fmt,Y,,-481.199967908E-6,-79.999998212E-3,,Pt Fmt,Y,,-481.199967908E-6,79.999998212E-3,
Yzero,2.77369144,,-480.799964862E-6,-1.3600000,,Yzero,976.651915153E-3,,-480.799964862E-6,0.0,,Yzero,-1.9533038,,-480.799964862E-6,0.0,,Yzero,-1.9923699,,-480.799964862E-6,0.0,
Probe Atten,1.000000,,-480.399961816E-6,-1.1999999,,Probe Atten,1.000000,,-480.399961816E-6,-79.999998212E-3,,Probe Atten,1.000000,,-480.399961816E-6,-79.999998212E-3,,Probe Atten,1.000000,,-480.399961816E-6,0.0,
,,,-479.999987874E-6,-1.2800000,,,,,-479.999987874E-6,79.999998212E-3,,,,,-479.999987874E-6,79.999998212E-3,,,,,-479.999987874E-6,79.999998212E-3,
Note,TDS 2004C - 10:57:51   2016-10-10,,-479.599984828E-6,-1.3600000,,Note,TDS 2004C - 10:57:51   2016-10-10,,-479.599984828E-6,0.0,,Note,TDS 2004C - 10:57:51   2016-10-10,,-479.599984828E-6,-79.999998212E-3,,Note,TDS 2004C - 10:57:51   2016-10-10,,-479.599984828E-6,79.999998212E-3,
,,,-479.199981783E-6,-1.3600000,,,,,-479.199981783E-6,79.999998212E-3,,,,,-479.199981783E-6,-79.999998212E-3,,,,,-479.199981783E-6,79.999998212E-3,
,,,-478.799978737E-6,-1.3600000,,,,,-478.799978737E-6,0.0,,,,,-478.799978737E-6,-79.999998212E-3,,,,,-478.799978737E-6,-79.999998212E-3,
,,,-478.399975691E-6,-1.4399999,,,,,-478.399975691E-6,79.999998212E-3,,,,,-478.399975691E-6,-79.999998212E-3,,,,,-478.399975691E-6,-79.999998212E-3,
,,,-477.999972645E-6,-1.3600000,,,,,-477.999972645E-6,0.0,,,,,-477.999972645E-6,-79.999998212E-3,,,,,-477.999972645E-6,0.0,
,,,-477.599969599E-6,-1.3600000,,,,,-477.599969599E-6,79.999998212E-3,,,,,-477.599969599E-6,0.0,,,,,-477.599969599E-6,0.0,
,,,-477.199966554E-6,-1.4399999,,,,,-477.199966554E-6,0.0,,,,,-477.199966554E-6,-159.99999642E-3,,,,,-477.199966554E-6,0.0,
,,,-476.799963508E-6,-1.3600000,,,,,-476.799963508E-6,0.0,,,,,-476.799963508E-6,-79.999998212E-3,,,,,-476.799963508E-6,79.999998212E-3,
,,,-476.399989566E-6,-1.3600000,,,,,-476.399989566E-6,159.99999642E-3,,,,,-476.399989566E-6,0.0,,,,,-476.399989566E-6,79.999998212E-3,
,,,-475.999986520E-6,-1.4399999,,,,,-475.999986520E-6,0.0,,,,,-475.999986520E-6,-79.999998212E-3,,,,,-475.999986520E-6,79.999998212E-3,
,,,-475.599983474E-6,-1.4399999,,,,,-475.599983474E-6,0.0,,,,,-475.599983474E-6,0.0,,,,,-475.599983474E-6,79.999998212E-3,
,,,-475.199980428E-6,-1.5200000,,,,,-475.199980428E-6,0.0,,,,,-475.199980428E-6,0.0,,,,,-475.199980428E-6,0.0,
,,,-474.799977383E-6,-1.5200000,,,,,-474.799977383E-6,0.0,,,,,-474.799977383E-6,-79.999998212E-3,,,,,-474.799977383E-6,0.0,
,,,-474.399974337E-6,-1.4399999,,,,,-474.399974337E-6,0.0,,,,,-474.399974337E-6,0.0,,,,,-474.399974337E-6,-79.999998212E-3,
,,,-473.999971291E-6,-1.4399999,,,,,-473.999971291E-6,0.0,,,,,-473.999971291E-6,0.0,,,,,-473.999971291E-6,0.0,
,,,-473.599968245E-6,-1.5999999,,,,,-473.599968245E-6,0.0,,,,,-473.599968245E-6,0.0,,,,,-473.599968245E-6,0.0,
,,,-473.199965199E-6,-1.4399999,,,,,-473.199965199E-6,0.0,,,,,-473.199965199E-6,-79.999998212E-3,,,,,-473.199965199E-6,0.0,
,,,-472.799962154E-6,-1.5200000,,,,,-472.799962154E-6,0.0,,,,,-472.799962154E-6,-79.999998212E-3,,,,,-472.799962154E-6,0.0,
,,,-472.399988212E-6,-1.5999999,,,,,-472.399988212E-6,0.0,,,,,-472.399988212E-6,-79.999998212E-3,,,,,-472.399988212E-6,0.0,
,,,-471.999985166E-6,-1.5200000,,,,,-471.999985166E-6,0.0,,,,,-471.999985166E-6,0.0,,,,,-471.999985166E-6,79.999998212E-3,
,,,-471.599982120E-6,-1.5999999,,,,,-471.599982120E-6,0.0,,,,,-471.599982120E-6,0.0,,,,,-471.599982120E-6,0.0,
,,,-471.199979074E-6,-1.4399999,,,,,-471.199979074E-6,79.999998212E-3,,,,,-471.199979074E-6,-79.999998212E-3,,,,,-471.199979074E-6,-79.999998212E-3,
,,,-470.799976029E-6,-1.5999999,,,,,-470.799976029E-6,0.0,,,,,-470.799976029E-6,-79.999998212E-3,,,,,-470.799976029E-6,0.0,
,,,-470.399972983E-6,-1.5200000,,,,,-470.399972983E-6,-79.999998212E-3,,,,,-470.399972983E-6,0.0,,,,,-470.399972983E-6,0.0,
,,,-469.999969937E-6,-1.4399999,,,,,-469.999969937E-6,0.0,,,,,-469.999969937E-6,-79.999998212E-3,,,,,-469.999969937E-6,-79.999998212E-3,
